nama_kabupaten_kota,kategori_usaha,proyeksi_jumlah_umkm_2018,proyeksi_jumlah_umkm_2019,proyeksi_jumlah_umkm_2020,proyeksi_jumlah_umkm_2021,proyeksi_jumlah_umkm_2022,proyeksi_jumlah_umkm_2023
KABUPATEN BANDUNG,AKSESORIS,927,985,1046,1110,1179,1252
KABUPATEN BANDUNG,BATIK,927,985,1046,1110,1179,1252
KABUPATEN BANDUNG,BORDIR,132,141,149,159,168,179
KABUPATEN BANDUNG,CRAFT,33118,35167,37343,39654,42107,44712
KABUPATEN BANDUNG,FASHION,32323,34323,36447,38702,41097,43639
KABUPATEN BANDUNG,JASA/LAINNYA,45041,47828,50787,53929,57266,60809
KABUPATEN BANDUNG,KONVEKSI,19738,20960,22257,23634,25096,26649
KABUPATEN BANDUNG,KULINER,142541,151360,160725,170669,181229,192442
KABUPATEN BANDUNG,MAKANAN,104256,110707,117556,124830,132553,140755
KABUPATEN BANDUNG,MINUMAN,19341,20538,21808,23158,24591,26112
KABUPATEN BANDUNG BARAT,AKSESORIS,410,436,463,491,522,554
KABUPATEN BANDUNG BARAT,BATIK,410,436,463,491,522,554
KABUPATEN BANDUNG BARAT,BORDIR,59,62,66,70,75,79
KABUPATEN BANDUNG BARAT,CRAFT,14651,15558,16520,17542,18628,19780
KABUPATEN BANDUNG BARAT,FASHION,14300,15184,16124,17121,18181,19306
KABUPATEN BANDUNG BARAT,JASA/LAINNYA,19926,21159,22468,23858,25334,26901
KABUPATEN BANDUNG BARAT,KONVEKSI,8732,9272,9846,10455,11102,11789
KABUPATEN BANDUNG BARAT,KULINER,63059,66960,71103,75503,80174,85135
KABUPATEN BANDUNG BARAT,MAKANAN,46122,48976,52006,55224,58641,62269
KABUPATEN BANDUNG BARAT,MINUMAN,8556,9086,9648,10245,10879,11552
KABUPATEN BEKASI,AKSESORIS,606,644,684,726,771,819
KABUPATEN BEKASI,BATIK,606,644,684,726,771,819
KABUPATEN BEKASI,BORDIR,87,92,98,104,110,117
KABUPATEN BEKASI,CRAFT,21659,22999,24422,25933,27538,29242
KABUPATEN BEKASI,FASHION,21139,22447,23836,25311,26877,28540
KABUPATEN BEKASI,JASA/LAINNYA,29456,31279,33214,35269,37452,39769
KABUPATEN BEKASI,KONVEKSI,12909,13708,14556,15456,16413,17428
KABUPATEN BEKASI,KULINER,93221,98989,105114,111617,118523,125857
KABUPATEN BEKASI,MAKANAN,68183,72402,76881,81638,86689,92053
KABUPATEN BEKASI,MINUMAN,12649,13432,14263,15145,16082,17077
KABUPATEN BOGOR,AKSESORIS,984,1045,1110,1179,1252,1329
KABUPATEN BOGOR,BATIK,984,1045,1110,1179,1252,1329
KABUPATEN BOGOR,BORDIR,141,149,159,168,179,190
KABUPATEN BOGOR,CRAFT,35159,37335,39644,42097,44702,47468
KABUPATEN BOGOR,FASHION,34315,36438,38693,41087,43629,46329
KABUPATEN BOGOR,JASA/LAINNYA,47816,50775,53916,57252,60795,64556
KABUPATEN BOGOR,KONVEKSI,20955,22251,23628,25090,26642,28291
KABUPATEN BOGOR,KULINER,151325,160688,170630,181187,192398,204302
KABUPATEN BOGOR,MAKANAN,110681,117529,124801,132523,140722,149429
KABUPATEN BOGOR,MINUMAN,20533,21803,23152,24585,26106,27721
KABUPATEN CIAMIS,AKSESORIS,367,389,414,439,466,495
KABUPATEN CIAMIS,BATIK,367,389,414,439,466,495
KABUPATEN CIAMIS,BORDIR,52,56,59,63,67,71
KABUPATEN CIAMIS,CRAFT,13098,13908,14769,15683,16653,17683
KABUPATEN CIAMIS,FASHION,12784,13575,14415,15306,16253,17259
KABUPATEN CIAMIS,JASA/LAINNYA,17813,18916,20086,21329,22648,24050
KABUPATEN CIAMIS,KONVEKSI,7806,8289,8802,9347,9925,10539
KABUPATEN CIAMIS,KULINER,56374,59862,63566,67499,71675,76110
KABUPATEN CIAMIS,MAKANAN,41233,43784,46493,49369,52424,55668
KABUPATEN CIAMIS,MINUMAN,7649,8123,8625,9159,9725,10327
KABUPATEN CIANJUR,AKSESORIS,658,699,742,788,837,889
KABUPATEN CIANJUR,BATIK,658,699,742,788,837,889
KABUPATEN CIANJUR,BORDIR,94,100,106,113,120,127
KABUPATEN CIANJUR,CRAFT,23512,24967,26512,28152,29894,31743
KABUPATEN CIANJUR,FASHION,22948,24368,25875,27476,29176,30982
KABUPATEN CIANJUR,JASA/LAINNYA,31977,33955,36056,38287,40656,43171
KABUPATEN CIANJUR,KONVEKSI,14013,14880,15801,16779,17817,18919
KABUPATEN CIANJUR,KULINER,101196,107458,114106,121166,128663,136624
KABUPATEN CIANJUR,MAKANAN,74016,78596,83459,88623,94106,99928
KABUPATEN CIANJUR,MINUMAN,13731,14581,15483,16441,17458,18538
KABUPATEN CIREBON,AKSESORIS,663,704,748,794,843,895
KABUPATEN CIREBON,BATIK,663,704,748,794,843,895
KABUPATEN CIREBON,BORDIR,95,101,107,113,120,128
KABUPATEN CIREBON,CRAFT,23681,25146,26702,28354,30108,31971
KABUPATEN CIREBON,FASHION,23112,24542,26061,27673,29385,31203
KABUPATEN CIREBON,JASA/LAINNYA,32206,34198,36314,38561,40947,43480
KABUPATEN CIREBON,KONVEKSI,14114,14987,15914,16899,17944,19055
KABUPATEN CIREBON,KULINER,101921,108227,114923,122034,129584,137602
KABUPATEN CIREBON,MAKANAN,74546,79159,84056,89257,94780,100644
KABUPATEN CIREBON,MINUMAN,13829,14685,15594,16559,17583,18671
KABUPATEN GARUT,AKSESORIS,680,722,767,814,865,918
KABUPATEN GARUT,BATIK,680,722,767,814,865,918
KABUPATEN GARUT,BORDIR,97,103,110,116,124,131
KABUPATEN GARUT,CRAFT,24293,25796,27393,29087,30887,32798
KABUPATEN GARUT,FASHION,23710,25177,26735,28389,30146,32011
KABUPATEN GARUT,JASA/LAINNYA,33039,35083,37254,39559,42006,44605
KABUPATEN GARUT,KONVEKSI,14479,15375,16326,17336,18409,19548
KABUPATEN GARUT,KULINER,104559,111028,117897,125192,132938,141163
KABUPATEN GARUT,MAKANAN,76475,81207,86232,91567,97232,103248
KABUPATEN GARUT,MINUMAN,14187,15065,15997,16987,18038,19154
